ID SPK,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,RFM_Score,RFM_Level
5,350,1,4235000,2,4,2,242,8,Loyal
7,350,1,3648000,2,4,2,242,8,Loyal
8,350,1,1298997,2,4,4,244,10,Cannot Loose Them
13,350,1,3057500,2,4,3,243,9,Cannot Loose Them
15,350,1,2057500,2,4,3,243,9,Cannot Loose Them
17,350,1,1952250,2,4,4,244,10,Cannot Loose Them
18,350,1,8953200,2,4,1,241,7,Loyal
19,350,1,2195000,2,4,3,243,9,Cannot Loose Them
20,350,1,1758750,2,4,4,244,10,Cannot Loose Them
21,350,1,6266000,2,4,1,241,7,Loyal
22,350,1,1587996,2,4,4,244,10,Cannot Loose Them
23,350,1,1776996,2,4,4,244,10,Cannot Loose Them
24,350,1,1538001,2,4,4,244,10,Cannot Loose Them
25,350,1,1621000,2,4,4,244,10,Cannot Loose Them
26,350,1,2344000,2,4,3,243,9,Cannot Loose Them
27,350,1,3455000,2,4,2,242,8,Loyal
28,19485,1,3452000,4,4,2,442,10,Cannot Loose Them
29,350,1,4050000,2,4,2,242,8,Loyal
30,350,1,9075000,2,4,1,241,7,Loyal
31,350,1,2304000,2,4,3,243,9,Cannot Loose Them
33,350,1,5285000,2,4,1,241,7,Loyal
34,350,1,3750000,2,4,2,242,8,Loyal
35,350,1,5550000,2,4,1,241,7,Loyal
36,350,1,1725000,2,4,4,244,10,Cannot Loose Them
37,350,1,3880000,2,4,2,242,8,Loyal
38,350,1,0,2,4,4,244,10,Cannot Loose Them
39,350,1,0,2,4,4,244,10,Cannot Loose Them
40,350,1,4025000,2,4,2,242,8,Loyal
41,350,1,2305000,2,4,3,243,9,Cannot Loose Them
42,350,1,3010000,2,4,3,243,9,Cannot Loose Them
43,350,1,2735000,2,4,3,243,9,Cannot Loose Them
44,350,1,4775000,2,4,2,242,8,Loyal
45,350,1,4455000,2,4,2,242,8,Loyal
46,350,1,4230000,2,4,2,242,8,Loyal
47,350,1,4310000,2,4,2,242,8,Loyal
48,350,1,1602000,2,4,4,244,10,Cannot Loose Them
49,1396,1,9984000,4,4,1,441,9,Cannot Loose Them
50,350,1,1486998,2,4,4,244,10,Cannot Loose Them
51,350,1,4697000,2,4,2,242,8,Loyal
52,350,1,3800000,2,4,2,242,8,Loyal
53,1391,1,2505000,4,4,3,443,11,Cannot Loose Them
54,1196,1,1760000,4,4,4,444,12,Cannot Loose Them
55,350,1,1749870,2,4,4,244,10,Cannot Loose Them
56,350,1,4714600,2,4,2,242,8,Loyal
57,350,1,3365000,2,4,2,242,8,Loyal
58,350,1,2043999,2,4,3,243,9,Cannot Loose Them
59,350,1,2910000,2,4,3,243,9,Cannot Loose Them
60,350,1,2642500,2,4,3,243,9,Cannot Loose Them
61,350,1,9740000,2,4,1,241,7,Loyal
62,350,1,4280000,2,4,2,242,8,Loyal
63,350,1,1585998,2,4,4,244,10,Cannot Loose Them
64,350,1,1514000,2,4,4,244,10,Cannot Loose Them
65,350,1,2615000,2,4,3,243,9,Cannot Loose Them
66,350,1,2272500,2,4,3,243,9,Cannot Loose Them
67,350,1,2160900,2,4,3,243,9,Cannot Loose Them
68,350,1,5400000,2,4,1,241,7,Loyal
69,19485,1,9270000,4,4,1,441,9,Cannot Loose Them
70,350,1,1671000,2,4,4,244,10,Cannot Loose Them
72,350,1,0,2,4,4,244,10,Cannot Loose Them
73,350,1,1000000,2,4,4,244,10,Cannot Loose Them
74,350,1,1440000,2,4,4,244,10,Cannot Loose Them
75,350,1,2590000,2,4,3,243,9,Cannot Loose Them
76,350,1,3123999,2,4,2,242,8,Loyal
78,350,1,5787201,2,4,1,241,7,Loyal
79,350,1,3775000,2,4,2,242,8,Loyal
80,350,1,800000,2,4,4,244,10,Cannot Loose Them
81,350,1,2764500,2,4,3,243,9,Cannot Loose Them
82,350,1,5480000,2,4,1,241,7,Loyal
83,350,1,2480000,2,4,3,243,9,Cannot Loose Them
84,350,1,4030000,2,4,2,242,8,Loyal
86,350,1,1379997,2,4,4,244,10,Cannot Loose Them
87,350,1,1722000,2,4,4,244,10,Cannot Loose Them
88,350,1,1649000,2,4,4,244,10,Cannot Loose Them
89,350,1,4644000,2,4,2,242,8,Loyal
91,350,1,1654000,2,4,4,244,10,Cannot Loose Them
92,350,1,1590000,2,4,4,244,10,Cannot Loose Them
93,350,1,1000000,2,4,4,244,10,Cannot Loose Them
94,350,1,3435000,2,4,2,242,8,Loyal
95,350,1,1866600,2,4,4,244,10,Cannot Loose Them
96,350,1,6000000,2,4,1,241,7,Loyal
97,350,1,1758996,2,4,4,244,10,Cannot Loose Them
98,350,1,2183000,2,4,3,243,9,Cannot Loose Them
102,350,1,3375000,2,4,2,242,8,Loyal
104,350,1,2346000,2,4,3,243,9,Cannot Loose Them
105,350,1,3086000,2,4,3,243,9,Cannot Loose Them
106,350,1,3700000,2,4,2,242,8,Loyal
107,350,1,2078000,2,4,3,243,9,Cannot Loose Them
108,350,1,3099000,2,4,2,242,8,Loyal
109,350,1,10249925,2,4,1,241,7,Loyal
110,350,1,2796993,2,4,3,243,9,Cannot Loose Them
111,350,1,4060000,2,4,2,242,8,Loyal
112,350,1,3349000,2,4,2,242,8,Loyal
114,350,1,5861730,2,4,1,241,7,Loyal
115,350,1,2160894,2,4,3,243,9,Cannot Loose Them
116,350,1,1992000,2,4,3,243,9,Cannot Loose Them
117,350,1,3940000,2,4,2,242,8,Loyal
118,350,1,7915000,2,4,1,241,7,Loyal
119,350,1,5900000,2,4,1,241,7,Loyal
120,350,1,2106292,2,4,3,243,9,Cannot Loose Them
121,997,1,2294250,4,4,3,443,11,Cannot Loose Them
122,350,1,13500000,2,4,1,241,7,Loyal
123,350,1,3610000,2,4,2,242,8,Loyal
125,350,1,1872000,2,4,4,244,10,Cannot Loose Them
126,350,1,3005000,2,4,3,243,9,Cannot Loose Them
127,350,1,1750000,2,4,4,244,10,Cannot Loose Them
128,350,1,1602926,2,4,4,244,10,Cannot Loose Them
129,350,1,2240000,2,4,3,243,9,Cannot Loose Them
130,350,1,7717500,2,4,1,241,7,Loyal
131,350,1,4765000,2,4,2,242,8,Loyal
132,350,1,3120000,2,4,2,242,8,Loyal
133,350,1,2200000,2,4,3,243,9,Cannot Loose Them
134,350,1,2952000,2,4,3,243,9,Cannot Loose Them
135,350,1,84168000,2,4,1,241,7,Loyal
136,350,1,4415000,2,4,2,242,8,Loyal
137,350,1,2095000,2,4,3,243,9,Cannot Loose Them
138,350,1,3850000,2,4,2,242,8,Loyal
139,350,1,7570000,2,4,1,241,7,Loyal
141,350,1,3204000,2,4,2,242,8,Loyal
142,350,1,4130000,2,4,2,242,8,Loyal
143,350,1,800000,2,4,4,244,10,Cannot Loose Them
144,350,1,1454004,2,4,4,244,10,Cannot Loose Them
145,350,1,19965000,2,4,1,241,7,Loyal
146,350,1,2799990,2,4,3,243,9,Cannot Loose Them
147,350,1,4945000,2,4,1,241,7,Loyal
148,350,1,13870000,2,4,1,241,7,Loyal
149,350,1,13590000,2,4,1,241,7,Loyal
151,350,1,2082000,2,4,3,243,9,Cannot Loose Them
152,350,1,6303000,2,4,1,241,7,Loyal
153,350,1,800000,2,4,4,244,10,Cannot Loose Them
154,350,1,4205000,2,4,2,242,8,Loyal
155,350,1,2664000,2,4,3,243,9,Cannot Loose Them
156,350,1,3595000,2,4,2,242,8,Loyal
157,350,1,2415000,2,4,3,243,9,Cannot Loose Them
158,350,1,3390000,2,4,2,242,8,Loyal
159,350,1,11396000,2,4,1,241,7,Loyal
160,350,1,2660000,2,4,3,243,9,Cannot Loose Them
161,350,1,1524996,2,4,4,244,10,Cannot Loose Them
162,350,1,3418200,2,4,2,242,8,Loyal
163,350,1,5215000,2,4,1,241,7,Loyal
164,350,1,1548000,2,4,4,244,10,Cannot Loose Them
165,350,1,800000,2,4,4,244,10,Cannot Loose Them
166,350,1,1852000,2,4,4,244,10,Cannot Loose Them
167,350,1,4200000,2,4,2,242,8,Loyal
168,350,1,20840000,2,4,1,241,7,Loyal
169,350,1,3595000,2,4,2,242,8,Loyal
170,350,1,1451997,2,4,4,244,10,Cannot Loose Them
171,350,1,2330000,2,4,3,243,9,Cannot Loose Them
172,350,1,1346004,2,4,4,244,10,Cannot Loose Them
173,350,1,6760000,2,4,1,241,7,Loyal
175,350,1,3125000,2,4,2,242,8,Loyal
176,350,1,5034000,2,4,1,241,7,Loyal
177,350,1,3032500,2,4,3,243,9,Cannot Loose Them
178,350,1,2096000,2,4,3,243,9,Cannot Loose Them
179,350,1,1920000,2,4,4,244,10,Cannot Loose Them
180,350,1,3757500,2,4,2,242,8,Loyal
181,350,1,2620000,2,4,3,243,9,Cannot Loose Them
183,350,1,5070000,2,4,1,241,7,Loyal
184,350,1,7565000,2,4,1,241,7,Loyal
185,350,1,2700000,2,4,3,243,9,Cannot Loose Them
186,350,1,1001000,2,4,4,244,10,Cannot Loose Them
187,350,1,1072000,2,4,4,244,10,Cannot Loose Them
188,350,1,9855000,2,4,1,241,7,Loyal
189,350,1,3695000,2,4,2,242,8,Loyal
190,350,1,20020000,2,4,1,241,7,Loyal
191,350,1,4760000,2,4,2,242,8,Loyal
192,350,1,5400000,2,4,1,241,7,Loyal
193,350,1,2475000,2,4,3,243,9,Cannot Loose Them
194,350,1,4515000,2,4,2,242,8,Loyal
195,350,1,1851000,2,4,4,244,10,Cannot Loose Them
196,350,1,1917999,2,4,4,244,10,Cannot Loose Them
197,350,1,7110000,2,4,1,241,7,Loyal
198,350,1,4265000,2,4,2,242,8,Loyal
199,350,1,2013003,2,4,3,243,9,Cannot Loose Them
200,350,1,1899990,2,4,4,244,10,Cannot Loose Them
201,350,1,3160000,2,4,2,242,8,Loyal
202,350,1,4200000,2,4,2,242,8,Loyal
203,350,1,16150000,2,4,1,241,7,Loyal
204,350,1,8865000,2,4,1,241,7,Loyal
205,350,1,3756000,2,4,2,242,8,Loyal
206,350,1,2302000,2,4,3,243,9,Cannot Loose Them
207,350,1,1740000,2,4,4,244,10,Cannot Loose Them
208,350,1,1800000,2,4,4,244,10,Cannot Loose Them
209,350,1,800000,2,4,4,244,10,Cannot Loose Them
210,350,1,800000,2,4,4,244,10,Cannot Loose Them
211,350,1,1600002,2,4,4,244,10,Cannot Loose Them
212,350,1,2384000,2,4,3,243,9,Cannot Loose Them
213,350,1,1595997,2,4,4,244,10,Cannot Loose Them
214,350,1,4840000,2,4,2,242,8,Loyal
215,350,1,4650000,2,4,2,242,8,Loyal
216,350,1,12696000,2,4,1,241,7,Loyal
217,350,1,8460900,2,4,1,241,7,Loyal
218,350,1,5145000,2,4,1,241,7,Loyal
219,350,1,2520000,2,4,3,243,9,Cannot Loose Them
220,350,1,3930000,2,4,2,242,8,Loyal
221,350,1,3820000,2,4,2,242,8,Loyal
222,350,1,4524000,2,4,2,242,8,Loyal
223,350,1,1958994,2,4,4,244,10,Cannot Loose Them
224,350,1,1917000,2,4,4,244,10,Cannot Loose Them
225,350,1,5140000,2,4,1,241,7,Loyal
226,350,1,2962500,2,4,3,243,9,Cannot Loose Them
227,350,1,3327500,2,4,2,242,8,Loyal
229,350,1,2160000,2,4,3,243,9,Cannot Loose Them
230,350,1,3990000,2,4,2,242,8,Loyal
231,350,1,10275000,2,4,1,241,7,Loyal
232,350,1,2673000,2,4,3,243,9,Cannot Loose Them
233,350,1,6495000,2,4,1,241,7,Loyal
235,350,1,800000,2,4,4,244,10,Cannot Loose Them
236,350,1,800000,2,4,4,244,10,Cannot Loose Them
237,350,1,5470000,2,4,1,241,7,Loyal
238,350,1,1646000,2,4,4,244,10,Cannot Loose Them
239,350,1,2275992,2,4,3,243,9,Cannot Loose Them
240,350,1,3970967,2,4,2,242,8,Loyal
241,350,1,2216000,2,4,3,243,9,Cannot Loose Them
242,350,1,4110000,2,4,2,242,8,Loyal
243,1160,1,4600000,4,4,2,442,10,Cannot Loose Them
244,350,1,1952250,2,4,4,244,10,Cannot Loose Them
245,350,1,8953200,2,4,1,241,7,Loyal
246,350,1,2195000,2,4,3,243,9,Cannot Loose Them
247,350,1,1758750,2,4,4,244,10,Cannot Loose Them
248,350,1,8370000,2,4,1,241,7,Loyal
249,350,1,3827988,2,4,2,242,8,Loyal
250,350,1,2013003,2,4,3,243,9,Cannot Loose Them
251,350,1,3915000,2,4,2,242,8,Loyal
252,350,1,3230000,2,4,2,242,8,Loyal
253,350,1,5140000,2,4,1,241,7,Loyal
254,350,1,2435000,2,4,3,243,9,Cannot Loose Them
255,350,1,2089500,2,4,3,243,9,Cannot Loose Them
256,350,1,15000000,2,4,1,241,7,Loyal
258,350,1,2450000,2,4,3,243,9,Cannot Loose Them
259,350,1,1348000,2,4,4,244,10,Cannot Loose Them
260,350,1,2157003,2,4,3,243,9,Cannot Loose Them
261,350,1,3900000,2,4,2,242,8,Loyal
262,350,1,15510000,2,4,1,241,7,Loyal
264,350,1,2422000,2,4,3,243,9,Cannot Loose Them
265,350,1,5128000,2,4,1,241,7,Loyal
266,350,1,2212000,2,4,3,243,9,Cannot Loose Them
267,350,1,5500000,2,4,1,241,7,Loyal
268,350,1,5190000,2,4,1,241,7,Loyal
269,350,1,7430000,2,4,1,241,7,Loyal
270,350,1,3650000,2,4,2,242,8,Loyal
271,350,1,5256000,2,4,1,241,7,Loyal
272,350,1,1100000,2,4,4,244,10,Cannot Loose Them
273,350,1,800000,2,4,4,244,10,Cannot Loose Them
274,927,1,2104002,4,4,3,443,11,Cannot Loose Them
